source,time,tag,title,content_summary,url,rss_tags
"CD_Business, CD_Policy, CD_Tech",2025-12-06 00:23:42,Regulation,Small Texas Lender Monet Joining Field of Crypto-Focused Banks,,https://www.coindesk.com/policy/2025/12/05/small-texas-lender-monet-joining-field-of-crypto-focused-banks,"News, Policy, banks"
"CD_Business, CD_Policy, CD_Tech",2025-12-05 17:46:55,Regulation,"New IMF Report Warns of Stablecoin Risk, Sparking Criticism From Experts",,https://www.coindesk.com/policy/2025/12/05/new-imf-report-warns-of-stablecoin-risk-sparking-criticism-from-experts,"IMF, News, Policy, Stablecoins, central banks"
"CD_Business, CD_Policy, CD_Tech",2025-12-05 17:25:38,Regulation,"Trump’s Security Strategy: Impact on Bitcoin, Gold, Bond Yields",,https://www.coindesk.com/markets/2025/12/05/trump-s-national-strategy-gives-reality-check-to-crypto-s-low-rate-obsession,"Bitcoin News, Donald Trump, Interest Rates, Markets, News"
"CD_Business, CD_Policy, CD_Tech",2025-12-05 16:58:26,Regulation,U.S. Prosecutors Seek 12-Year Sentence for Terraform Founder Do Kwon in Crypto Fraud Case,,https://www.coindesk.com/policy/2025/12/05/us-prosecutors-seek-12-year-sentence-for-terraform-founder-do-kwon-in-crypto-fraud-case,"Do Kwon, News, Policy, Southern district of new york, Terra luna, Terraform"
"CD_Business, CD_Policy, CD_Tech",2025-12-05 15:38:24,General_Hard_News,"MARA Trades at a Premium Factoring in Its Debt, Not a Discount: VanEck’s Sigel",,https://www.coindesk.com/markets/2025/12/05/mara-trades-at-a-premium-factoring-in-its-debt-not-a-discount-vaneck-s-sigel,"Bitcoin News, Marathon, Markets, MicroStrategy, News"
"CD_Business, CD_Policy, CD_Tech",2025-12-05 15:22:44,Regulation,European Crypto Scam Network Dismantled After Laundering $815M,,https://www.coindesk.com/policy/2025/12/05/european-crypto-scam-network-dismantled-after-laundering-usd815m,"Crime, Europe, Europol, Fraud, News, Policy"
"CD_Business, CD_Policy, CD_Tech",2025-12-05 14:38:58,Regulation,Russian Banking Giant VTB to Become Country's First to Offer Spot Crypto Trading: Report,,https://www.coindesk.com/business/2025/12/05/russian-banking-giant-vtb-to-become-country-s-first-to-offer-spot-crypto-trading-report,"Finance, News, Russia, Spot Trading, banks"
"CD_Business, CD_Policy, CD_Tech",2025-12-05 14:00:00,Regulation,Uniswap's Lindsay Fraser to Run Policy Shop at Blockchain Association,,https://www.coindesk.com/policy/2025/12/04/uniswap-s-lindsay-fraser-to-run-policy-shop-at-blockchain-association,"Blockchain Association, Exclusive, News, Policy, Uniswap Labs, crypto legislation, lobbying"
"CD_Business, CD_Policy, CD_Tech",2025-12-05 13:49:46,General_Hard_News,STRF Emerges as Strategy’s Standout Credit Instrument After Nine Months of Trading,,https://www.coindesk.com/markets/2025/12/05/strf-emerges-as-strategy-s-standout-credit-instrument-after-nine-months-of-trading,"Bitcoin News, Markets, Michael Saylor, MicroStrategy, News"
"CD_Business, CD_Policy, CD_Tech",2025-12-05 13:03:05,Institutional,JPMorgan Maintains Bitcoin's Gold-Linked Target at $170K Despite Recent Drop,,https://www.coindesk.com/markets/2025/12/04/jpmorgan-retains-gold-linked-usd170k-bitcoin-target-despite-recent-plunge,"Bitcoin Mining, Bitcoin News, JPMorgan, Markets, News, Strategy"
